175 , -111.94076618353341
64 , -112.87788397732564
87 , -119.41692169083345
37 , -117.91767722615724
201 , -26.018310036214267
73 , -116.15643046858287
122 , -120.68956150593257
122 , -114.75287739859978
47 , -116.58955638030193
53 , -118.59543113978393
99 , -113.6503052451803
117 , -123.1838497809242
52 , -110.36284644874269
135 , -123.922477860857
44 , -120.12297262810296
49 , -121.02161146431808
81 , -114.63193611115115
44 , -118.35497862319897
54 , -107.89648101410829
100 , -114.69762642491008
49 , -120.54149277959019
70 , -116.95425673637023
193 , -117.80047513987247
71 , -112.45195016269116
71 , -118.28241699294705
72 , -114.49228456679215
40 , -116.16293807644232
77 , -114.71075091588581
85 , -116.13748139317376
136 , -129.23409045234612
59 , -114.16558411580759
111 , -114.31104162422754
107 , -118.42678243852365
42 , -119.51895315879645
176 , -114.77949036898609
117 , -120.86053144515327
73 , -119.17205068202608
44 , -116.39625152763435
81 , -115.02551055330557
100 , -116.10038185989713
46 , -121.90355663012713
44 , -120.21115308959907
105 , -112.86069101942724
79 , -117.36196726507984
95 , -110.36795291881533
98 , -120.1601341247569
40 , -115.08334703937794
73 , -118.99129460295518
53 , -114.67590145897266
187 , -113.73746837747636
